Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,PlayerID,AstPer90,G+APer90,GlsPer90,G-PKPer90,G+A-PKPer90,SecondPos
536,Azarías Londoño,MF,pa Panama,24.0,1.ec Univ Católica,2001.0,3.0,0.0,56.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31d68775,0.0,0.0,0.0,0.0,0.0,N/A
537,Sidny Lopes Cabral,DF,cv Cabo Verde,23.0,1.pt Benfica,2002.0,3.0,3.0,285.0,3.2,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,20700569,0.0,0.32,0.32,0.32,0.32,N/A
538,Flaco López,FW,ar Argentina,25.0,1.br Palmeiras,2000.0,2.0,0.0,20.0,0.2,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,e1426a52,4.5,4.5,0.0,0.0,4.5,N/A
539,Derrick Luckassen,DF,gh Ghana,30.0,1.cy Pafos FC,1995.0,2.0,2.0,180.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,30a09cb5,0.0,0.5,0.5,0.5,0.5,N/A
540,Jhon Lucumí,DF,co Colombia,27.0,1.it Bologna,1998.0,5.0,5.0,478.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,80490d7f,0.0,0.0,0.0,0.0,0.0,N/A
541,José Luis Rodríguez,MF,pa Panama,27.0,1.mx FC Juárez,1998.0,3.0,3.0,233.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b333b014,0.0,0.0,0.0,0.0,0.0,FW
542,Romelu Lukaku,FW,be Belgium,33.0,1.it Napoli,1993.0,6.0,1.0,233.0,2.6,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,5eae500a,0.39,1.55,1.16,1.16,1.55,N/A
543,Dodi Lukebakio,MF,be Belgium,28.0,1.pt Benfica,1997.0,3.0,1.0,164.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0c61c77c,0.0,0.0,0.0,0.0,0.0,N/A
544,Jovo Lukić,FW,ba Bosnia–Herz,27.0,1.ro Univ. Cluj,1998.0,2.0,1.0,67.0,0.7,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,a2056e82,0.0,1.34,1.34,1.34,1.34,N/A
545,Awer Mabil,FW,au Australia,30.0,2.es Castellón,1995.0,1.0,0.0,30.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,922da988,0.0,0.0,0.0,0.0,0.0,MF
546,Alexis Mac Allister,MF,ar Argentina,27.0,1.eng Liverpool,1998.0,8.0,7.0,750.0,8.3,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,83d074ff,0.12,0.24,0.12,0.12,0.24,N/A
547,Deiver Machado,DF,co Colombia,32.0,1.fr Nantes,1993.0,1.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b3f8bdef,0.0,0.0,0.0,0.0,0.0,N/A
548,Shuto Machino,FW,jp Japan,26.0,1.de Gladbach,1999.0,1.0,0.0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,964dde35,0.0,0.0,0.0,0.0,0.0,N/A
549,Assim Madibo,MF,qa Qatar,29.0,1.qa Al-Wakrah,1996.0,2.0,2.0,131.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2b1d2ada,0.0,0.0,0.0,0.0,0.0,N/A
550,Noni Madueke,MF,eng England,24.0,1.eng Arsenal,2002.0,5.0,4.0,286.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bf34eebd,0.0,0.0,0.0,0.0,0.0,N/A
551,Daizen Maeda,MF,jp Japan,28.0,1.sct Celtic,1997.0,3.0,3.0,244.0,2.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,395451fc,0.0,0.37,0.37,0.37,0.37,N/A
552,Gabriel Magalhães,DF,br Brazil,28.0,1.eng Arsenal,1997.0,5.0,5.0,450.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,67ac5bb8,0.2,0.2,0.0,0.0,0.2,N/A
553,Ermin Mahmić,MF,ba Bosnia–Herz,21.0,1.cz Slovan Liberec,2005.0,3.0,0.0,68.0,0.8,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,86e34165,0.0,2.65,2.65,2.65,2.65,N/A
554,Hadj Mahmoud,MF,tn Tunisia,26.0,1.ch Lugano,2000.0,2.0,0.0,43.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,081048c2,0.0,0.0,0.0,0.0,0.0,N/A
555,Riyad Mahrez,MF,dz Algeria,35.0,1.sa Al-Ahli,1991.0,4.0,3.0,262.0,2.9,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,892d5bb1,0.34,1.03,0.69,0.69,1.03,N/A
556,Alexandro Maidana,DF,py Paraguay,20.0,1.ar Talleres–C,2005.0,2.0,1.0,55.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4d0d5020,0.0,0.0,0.0,0.0,0.0,N/A
557,Mike Maignan,GK,fr France,30.0,1.it Milan,1995.0,8.0,8.0,720.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fcb38f57,0.0,0.0,0.0,0.0,0.0,N/A
558,Evidence Makgopa,FW,za South Africa,26.0,1.za Orlando Pirates,2000.0,4.0,2.0,215.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4d76d03b,0.0,0.0,0.0,0.0,0.0,N/A
559,Ahmed Maknzi,DF,iq Iraq,24.0,1.iq Al-Karma,2001.0,1.0,0.0,33.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f95ac2b6,0.0,0.0,0.0,0.0,0.0,N/A
560,Donyell Malen,FW,nl Netherlands,27.0,1.it Roma,1999.0,3.0,3.0,185.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116c35df,0.0,0.0,0.0,0.0,0.0,N/A
561,Arjan Malic,DF,ba Bosnia–Herz,20.0,1.at Sturm Graz,2005.0,1.0,1.0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,de57cd45,0.0,0.0,0.0,0.0,0.0,N/A
562,Mohamed Manai,DF,qa Qatar,23.0,1.qa Al-Shamal Sports Club,2002.0,3.0,0.0,69.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e20b706,0.0,0.0,0.0,0.0,0.0,N/A
563,Aïssa Mandi,DF,dz Algeria,34.0,1.fr Lille,1991.0,4.0,4.0,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fbd6378b,0.0,0.0,0.0,0.0,0.0,N/A
564,Sadio Mané,MF,sn Senegal,34.0,1.sa Al-Nassr,1992.0,4.0,4.0,362.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,c691bfe2,0.25,0.25,0.0,0.0,0.25,FW
565,Juan Manuel Sanabria,DF,uy Uruguay,26.0,1.mx Atlético San Luis,2000.0,3.0,2.0,204.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,f1d74479,0.0,0.0,0.0,0.0,0.0,N/A
566,Johan Manzambi,MF,ch Switzerland,20.0,1.de Freiburg,2005.0,4.0,2.0,199.0,2.2,3.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,8fcf0e12,0.9,2.26,1.36,1.36,2.26,FW
567,Mahmoud Al-Mardi,MF,jo Jordan,32.0,1.jo Al-Hussein SC,1993.0,3.0,1.0,130.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1eedc1ea,0.0,0.0,0.0,0.0,0.0,N/A
568,Jearl Margaritha,FW,cw Curaçao,26.0,2.be Beveren,2000.0,2.0,0.0,41.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,be915a68,0.0,0.0,0.0,0.0,0.0,MF
569,Omar Marmoush,FW,eg Egypt,27.0,1.eng Manchester City,1999.0,5.0,3.0,326.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0e0102eb,0.0,0.0,0.0,0.0,0.0,MF
570,Marquinhos,DF,br Brazil,32.0,1.fr PSG,1994.0,5.0,5.0,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d5f2f82b,0.0,0.0,0.0,0.0,0.0,N/A
571,Gabriel Martinelli,MF,br Brazil,24.0,1.eng Arsenal,2001.0,4.0,1.0,143.0,1.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,48a5a5d6,0.0,0.63,0.63,0.63,0.63,N/A
572,Guillermo Martínez Ayala,FW,mx Mexico,31.0,1.mx UNAM,1995.0,2.0,1.0,72.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59146354,0.0,0.0,0.0,0.0,0.0,N/A
573,Cristian Martínez,MF,pa Panama,29.0,1.il Kiryat Shmona,1997.0,3.0,3.0,242.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fdb15495,0.0,0.0,0.0,0.0,0.0,FW
574,Emiliano Martínez,GK,ar Argentina,33.0,1.eng Aston Villa,1992.0,8.0,8.0,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7956236f,0.0,0.0,0.0,0.0,0.0,N/A
575,Lautaro Martínez,FW,ar Argentina,28.0,1.it Inter,1997.0,7.0,4.0,310.0,3.4,3.0,1.0,4.0,2.0,1.0,1.0,1.0,0.0,f7036e1c,0.29,1.16,0.87,0.58,0.87,N/A
576,Lisandro Martínez,DF,ar Argentina,28.0,1.eng Manchester Utd,1998.0,7.0,7.0,624.0,6.9,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,bac46a10,0.14,0.29,0.14,0.14,0.29,N/A
577,Thapelo Maseko,MF,za South Africa,22.0,1.cy AEL Limassol,2003.0,3.0,3.0,242.0,2.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,498d45f7,0.0,0.37,0.37,0.37,0.37,FW
578,Hazem Mastouri,FW,tn Tunisia,28.0,1.ru D. Makhachkala,1997.0,1.0,1.0,89.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,c88f913e,0.0,1.01,1.01,1.01,1.01,N/A
579,Arthur Masuaku,DF,cd Congo DR,32.0,1.fr Lens,1993.0,4.0,4.0,315.0,3.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,57df7a11,0.29,0.29,0.0,0.0,0.29,N/A
